year,month,gfcf
2010,10,0.199306572
2010,11,0.223438602
2010,12,0.616855874
2011,1,0.693552319
2011,2,0.809953493
2011,3,0.789005462
2011,4,0.896449148
2011,5,0.732199127
2011,6,0.576131311
2011,7,0.351948105
2011,8,-0.19317074
2011,9,-0.893847017
2011,10,-0.2296143
2011,11,-0.403079014
2011,12,-0.489905444
2012,1,-0.077168486
2012,2,0.136299518
2012,3,0.130683318
2012,4,0.055478889
2012,5,-0.506050992
2012,6,-0.392681863
2012,7,-0.391179746
2012,8,-0.275161744
2012,9,-0.186942901
2012,10,-0.238505218
2012,11,-0.140805476
2012,12,-0.000937343
2013,1,0.194100839
2013,2,0.16099368
2013,3,0.176306047
2013,4,0.180180191
2013,5,0.308507917
2013,6,0.08051766
2013,7,0.299886997
2013,8,0.184731241
2013,9,0.3925953
2013,10,0.498407907
2013,11,0.555717489
2013,12,0.654369844
2014,1,0.451614153
2014,2,0.662359623
2014,3,0.625409464
2014,4,0.60338893
2014,5,0.666401508
2014,6,0.715124663
2014,7,0.628117556
2014,8,0.685782753
2014,9,0.439722734
2014,10,0.44851146
2014,11,0.504047482
2014,12,0.400497831
2015,1,0.158506066
2015,2,0.462717805
2015,3,0.344325103
2015,4,0.416039772
2015,5,0.390944518
2015,6,0.240819201
2015,7,0.068208303
2015,8,-0.295514576
2015,9,-0.58851984
2015,10,-0.248442256
2015,11,-0.269661657
2015,12,-0.519934518
2016,1,-0.97598974
2016,2,-0.92538285
2016,3,-0.541356471
2016,4,-0.421366219
2016,5,-0.464737855
2016,6,-0.663401268
2016,7,-0.431759612
2016,8,-0.352580242
2016,9,-0.36523883
2016,10,-0.492896795
2016,11,-0.259710635
2016,12,-0.245413999
2017,1,-0.101735526
2017,2,-0.056625643
2017,3,-0.050432881
2017,4,-0.026214231
2017,5,-0.049683854
2017,6,-0.021235843
2017,7,0.063654154
2017,8,0.002478986
2017,9,0.139443764
2017,10,0.183730509
2017,11,0.203248424
2017,12,0.302508054
2018,1,0.507839716
2018,2,0.245774458
2018,3,0.09741279
2018,4,0.059732231
2018,5,0.069479983
2018,6,-0.045860159
2018,7,0.056041094
2018,8,0.019784776
2018,9,-0.01328909
2018,10,-0.554576368
2018,11,-0.574555894
2018,12,-1.019805152
2019,1,-0.572993219
2019,2,-0.484781849
2019,3,-0.543984369
2019,4,-0.370525845
2019,5,-0.843711544
2019,6,-0.506214899
2019,7,-0.583621107
2019,8,-0.888940172
2019,9,-0.72906974
2019,10,-0.619353929
2019,11,-0.474161585
2019,12,-0.361645478
2020,1,-0.594180733
2020,2,-1.06359782
2020,3,-2.353278752
2020,4,-1.805453283
2020,5,-1.668707363
2020,6,-1.523330647
2020,7,-1.400804481
2020,8,-1.150446404
2020,9,-1.359742549
2020,10,-1.413632678
2020,11,-0.634315874
2020,12,-0.421903872
2021,1,-0.467641234
2021,2,-0.11153014
2021,3,0.071628632
2021,4,0.22867656
2021,5,0.387070531
2021,6,0.291255419
2021,7,0.282220157
2021,8,0.308729449
2021,9,0.107486244
2021,10,0.330112034
2021,11,0.129501481
2021,12,0.340548212
2022,1,0.123438602
2022,2,-0.001372847
2022,3,0.013849924
2022,4,-0.403693635
2022,5,-0.383828062
2022,6,-1.070269186
2022,7,-0.706269153
2022,8,-0.975824795
2022,9,-1.531315127
2022,10,-1.116350839
2022,11,-0.731468732
2022,12,-0.976608893
2023,1,-0.558152066
2023,2,-0.697735996
2023,3,-0.821977995
2023,4,-0.859836565
2023,5,-1.066057411
2023,6,-0.733968292
2023,7,-0.570015796
2023,8,-0.792036664
2023,9,-1.019619404
2023,10,-1.358273595
2023,11,-0.927428421
2023,12,-0.600036747
2024,1,-0.70206956
2024,2,-0.592743918
2024,3,-0.407075084
2024,4,-0.645605857
2024,5,-0.515557923
2024,6,-0.594078671
2024,7,-0.47516984
2024,8,-0.474680896
2024,9,-0.409638593
2024,10,-0.605967936
2024,11,-0.428811652
2024,12,-0.732871816
